ID,Taxon,Rank
2567874,Cyrtandra_longifolia_x_Cyrtandra_kauaiensis,species
2567873,Cyrtandra_hawaiensis_x_Cyrtandra_grayana,species
1346743,Cyrtandra_calpidicarpa_x_Cyrtandra_hawaiensis,species
1937021,Cistanche_phelypaea_x_Cistanche_violacea,species
2203459,Euphrasia_tetraquetra_x_Euphrasia_vigursii,species
2203455,Euphrasia_foulaensis_x_Euphrasia_ostenfeldii,species
2203454,Euphrasia_foulaensis_x_Euphrasia_nemorosa,species
2203449,Euphrasia_arctica_x_Euphrasia_micrantha,species
2203452,Euphrasia_confusa_x_Euphrasia_micrantha,species
2203458,Euphrasia_micrantha_x_Euphrasia_scottica,species
2203453,Euphrasia_foulaensis_x_Euphrasia_marshallii,species
2203457,Euphrasia_micrantha_x_Euphrasia_nemorosa,species
2203451,Euphrasia_arctica_x_Euphrasia_rostkoviana,species
2203448,Euphrasia_arctica_x_Euphrasia_foulaensis,species
2203450,Euphrasia_arctica_x_Euphrasia_nemorosa,species
2203447,Euphrasia_arctica_x_Euphrasia_confusa,species
2203456,Euphrasia_marshallii_x_Euphrasia_micrantha,species
2494553,Erythranthe_pardalis_x_Erythranthe_guttata,species
2065111,Erythranthe_guttata_x_Erythranthe_nasuta,species
51965,Erythranthe_lutea_x_Erythranthe_guttata,species
1238159,Avicennia_marina_x_Avicennia_rumphiana,species
1549863,Ruellia_caroliniensis_x_Ruellia_simplex,species
2307032,Petalidium_halimoides_x_Petalidium_variabile,species
150403,Syringa_microphylla_x_Syringa_meyeri,species
1399548,Fraxinus_angustifolia_x_Fraxinus_excelsior,species
370809,Olea_europaea_subsp._europaea_x_O._europaea_subsp._cuspidata,subspecies
2590584,Callitriche_cophocarpa_x_Callitriche_platycarpa,species
2590583,Callitriche_cophocarpa_x_Callitriche_hamulata,species
2590742,Callitriche_brutia_subsp._brutia_x_Callitriche_brutia_var._naftolskyi,species
2590585,Callitriche_cophocarpa_x_Callitriche_stagnalis,species
1123938,Ourisia_macrocarpa_x_Ourisia_sessilifolia,species
1123937,Ourisia_caespitosa_x_Ourisia_sessilifolia,species
1123943,Ourisia_sessilifolia_x_Ourisia_confertifolia,species
1123944,Ourisia_sessilifolia_x_Ourisia_remotifolia,species
1123942,Ourisia_remotifolia_x_Ourisia_sessilifolia,species
1123934,Ourisia_caespitosa_x_Ourisia_calycina,species
1123935,Ourisia_caespitosa_x_Ourisia_macrocarpa,species
