id,accepted_plant_name_id,match_type
3336,380733-wcs,strict match
100117,380618-wcs,strict match
369398,380641-wcs,strict match
331118,380724-wcs,strict match
171229,380739-wcs,strict match
130230,386048-wcs,strict match
130203,380396-wcs,strict match
308688,380603-wcs,strict match
308681,380581-wcs,strict match
308682,380581-wcs,strict match
3334,380614-wcs,strict match
3329,469547-wcs,strict match
993104,469547-wcs,strict match
308677,380560-wcs,strict match
447318,380557-wcs,strict match
308689,381553-wcs,strict match
308679,386077-wcs,strict match
308678,381551-wcs,strict match
308683,469583-wcs,strict match
39833,380630-wcs,strict match
130208,380547-wcs,strict match
67778,380563-wcs,strict match
689840,469554-wcs,strict match
67779,380565-wcs,strict match
308684,380757-wcs,strict match
375754,380592-wcs,strict match
130227,380594-wcs,strict match
130234,381555-wcs,strict match
3335,380589-wcs,strict match
162304,380667-wcs,strict match
3332,380741-wcs,strict match
1969531,380749-wcs,strict match
3331,380719-wcs,strict match
3355,379658-wcs,strict match
123597,382686-wcs,strict match
400568,382701-wcs,strict match
3322,382693-wcs,strict match
93692,382698-wcs,strict match
123601,378136-wcs,strict match
89478,382243-wcs,strict match
156149,378639-wcs,strict match
50189,378632-wcs,strict match
89482,378636-wcs,strict match
58047,379352-wcs,strict match
1874887,379350-wcs,strict match
2588148,469763-wcs,strict match
147277,379347-wcs,strict match
120259,379346-wcs,strict match
147460,379353-wcs,strict match
29808,379454-wcs,strict match
1245586,378622-wcs,strict match
1982072,381594-wcs,strict match
46220,378623-wcs,strict match
99806,378602-wcs,strict match
1181301,469754-wcs,strict match
480382,379483-wcs,strict match
1181300,469754-wcs,strict match
492769,378675-wcs,strict match
2545979,493329-wcs,strict match
450883,378675-wcs,strict match
147273,378675-wcs,strict match
85957,379459-wcs,strict match
120273,379444-wcs,strict match
88032,379446-wcs,strict match
2212986,378675-wcs,strict match
450882,378622-wcs,strict match
156270,378614-wcs,strict match
156271,378686-wcs,strict match
156272,379448-wcs,strict match
89481,379553-wcs,strict match
25625,382185-wcs,strict match
1984855,382190-wcs,strict match
1045229,382191-wcs,strict match
89479,382192-wcs,strict match
66169,382734-wcs,strict match
451750,382723-wcs,strict match
58029,382742-wcs,strict match
450880,382757-wcs,strict match
224739,382742-wcs,strict match
450881,382739-wcs,strict match
191701,382741-wcs,strict match
147282,382759-wcs,strict match
449201,382757-wcs,strict match
50179,382742-wcs,strict match
89484,382742-wcs,strict match
13760,378744-wcs,strict match
1075059,378745-wcs,strict match
104009,378742-wcs,strict match
214229,378724-wcs,strict match
933502,473509-wcs,strict match
13717,379376-wcs,strict match
103972,385383-wcs,strict match
1075058,462564-wcs,strict match
103962,382328-wcs,strict match
214228,462565-wcs,strict match
474002,383010-wcs,strict match
474003,383010-wcs,strict match
28977,383010-wcs,strict match
66170,383009-wcs,strict match
99816,382230-wcs,strict match
99817,382223-wcs,strict match
103964,382241-wcs,strict match
58046,378336-wcs,strict match
99814,381300-wcs,strict match
99812,385844-wcs,strict match
28982,378596-wcs,strict match
284507,469753-wcs,strict match
160790,385841-wcs,strict match
103977,378344-wcs,strict match
1234413,377847-wcs,strict match
2250722,377849-wcs,strict match
13595,377863-wcs,strict match
103975,377862-wcs,strict match
103974,377848-wcs,strict match
3371,379270-wcs,strict match
486493,381482-wcs,strict match
13387,382424-wcs,strict match
103965,382426-wcs,strict match
103979,378333-wcs,strict match
13614,377977-wcs,strict match
89193,520351-wcs,strict match
85954,456789-wcs,strict match
74301,383216-wcs,strict match
257623,378747-wcs,strict match
103967,457907-wcs,strict match
329077,457900-wcs,strict match
103969,457912-wcs,strict match
48932,457919-wcs,strict match
329081,457904-wcs,strict match
48931,457915-wcs,strict match
103970,457916-wcs,strict match
2303644,457911-wcs,strict match
49011,457902-wcs,strict match
48929,457906-wcs,strict match
48934,457914-wcs,strict match
329080,457903-wcs,strict match
329086,457908-wcs,strict match
103968,457911-wcs,strict match
76352,457913-wcs,strict match
48930,457918-wcs,strict match
48933,457905-wcs,strict match
13727,378641-wcs,strict match
565456,381430-wcs,strict match
884044,469454-wcs,strict match
758916,377299-wcs,strict match
884043,377326-wcs,strict match
466204,377330-wcs,strict match
746017,377435-wcs,strict match
884040,377662-wcs,strict match
993107,377336-wcs,strict match
1770223,377237-wcs,strict match
714497,469355-wcs,strict match
1181299,385620-wcs,strict match
2055938,461222-wcs,strict match
2590789,469355-wcs,strict match
487037,385613-wcs,strict match
884038,377633-wcs,strict match
669713,377614-wcs,strict match
69008,377576-wcs,strict match
171238,385701-wcs,strict match
1070707,469449-wcs,strict match
884045,377350-wcs,strict match
305627,377371-wcs,strict match
884037,377625-wcs,strict match
114267,377355-wcs,strict match
321545,377646-wcs,strict match
993105,377238-wcs,strict match
884041,377392-wcs,strict match
329092,377511-wcs,strict match
329093,381373-wcs,strict match
453926,377546-wcs,strict match
103973,377414-wcs,strict match
171237,377561-wcs,strict match
884046,377331-wcs,strict match
1191189,381394-wcs,strict match
39584,377287-wcs,strict match
466206,377291-wcs,strict match
644197,469355-wcs,strict match
884032,377429-wcs,strict match
698470,377439-wcs,strict match
1457212,469354-wcs,strict match
698471,381375-wcs,strict match
487036,377397-wcs,strict match
646306,377408-wcs,strict match
466205,377330-wcs,strict match
114266,377678-wcs,strict match
487038,377543-wcs,strict match
658882,377380-wcs,strict match
62753,377641-wcs,strict match
454001,377283-wcs,strict match
651082,377314-wcs,strict match
650144,377319-wcs,strict match
746016,377533-wcs,strict match
646305,377672-wcs,strict match
884031,377446-wcs,strict match
13102,381403-wcs,strict match
884042,469453-wcs,strict match
244309,385644-wcs,strict match
1927803,385644-wcs,strict match
244307,469356-wcs,strict match
244308,385629-wcs,strict match
884035,377389-wcs,strict match
329094,377655-wcs,strict match
650143,469446-wcs,strict match
650142,377656-wcs,strict match
292814,377653-wcs,strict match
698472,377547-wcs,strict match
633661,377545-wcs,strict match
13101,377454-wcs,strict match
271540,377733-wcs,strict match
114268,377520-wcs,strict match
884033,377513-wcs,strict match
1070706,377533-wcs,strict match
884039,377668-wcs,strict match
884047,377255-wcs,strict match
1070708,385740-wcs,strict match
483145,377310-wcs,strict match
646304,377416-wcs,strict match
114264,377597-wcs,strict match
483146,377356-wcs,strict match
171236,377575-wcs,strict match
2290789,377231-wcs,strict match
292815,377260-wcs,strict match
2250720,382388-wcs,strict match
214234,382352-wcs,strict match
329097,382375-wcs,strict match
795982,382338-wcs,strict match
2250718,382333-wcs,strict match
2250721,382370-wcs,strict match
214226,382336-wcs,strict match
214223,382338-wcs,strict match
329098,382400-wcs,strict match
214231,382364-wcs,strict match
214233,382351-wcs,strict match
214232,382394-wcs,strict match
13383,382382-wcs,strict match
2250719,382367-wcs,strict match
214220,382357-wcs,strict match
214221,382357-wcs,strict match
214225,382338-wcs,strict match
214236,382371-wcs,strict match
214237,382371-wcs,strict match
2590791,382371-wcs,strict match
214227,382369-wcs,strict match
214224,382338-wcs,strict match
214235,382375-wcs,strict match
329090,383260-wcs,strict match
66171,383083-wcs,strict match
329079,383060-wcs,strict match
329078,383057-wcs,strict match
103966,383093-wcs,strict match
329082,383075-wcs,strict match
2304459,465683-wcs,strict match
2304458,465683-wcs,strict match
187464,383073-wcs,strict match
2304460,383073-wcs,strict match
329083,383095-wcs,strict match
13469,383232-wcs,strict match
329084,383115-wcs,strict match
2304457,457911-wcs,strict match
329091,383261-wcs,strict match
28978,385446-wcs,strict match
3369,382991-wcs,strict match
99810,382991-wcs,strict match
89194,378568-wcs,strict match
3317,378542-wcs,strict match
3316,378546-wcs,strict match
241616,377464-wcs,strict match
307274,378550-wcs,strict match
28980,378988-wcs,strict match
13415,382841-wcs,strict match
257617,465673-wcs,strict match
89191,385391-wcs,strict match
58030,382830-wcs,strict match
187463,382860-wcs,strict match
257618,382861-wcs,strict match
99808,382850-wcs,strict match
13497,385055-wcs,strict match
50187,378591-wcs,strict match
99815,378591-wcs,strict match
28979,381303-wcs,strict match
56998,214863-wcs,strict match
60856,14342-wcs,strict match
56993,14343-wcs,strict match
50177,14348-wcs,strict match
60867,14381-wcs,strict match
42754,14339-wcs,strict match
60864,14371-wcs,strict match
60859,14361-wcs,strict match
56994,14352-wcs,strict match
486043,14353-wcs,strict match
60865,14373-wcs,strict match
60861,14368-wcs,strict match
60862,14369-wcs,strict match
60868,14382-wcs,strict match
56996,14370-wcs,strict match
56995,14362-wcs,strict match
60866,14379-wcs,strict match
60860,14367-wcs,strict match
56992,14337-wcs,strict match
34341,14360-wcs,strict match
60857,14344-wcs,strict match
60858,14348-wcs,strict match
58027,4506-wcs,strict match
60851,4514-wcs,strict match
195693,4530-wcs,strict match
60852,4531-wcs,strict match
1564673,4509-wcs,strict match
488497,4514-wcs,strict match
330506,4526-wcs,strict match
57373,4532-wcs,strict match
56991,4536-wcs,strict match
60854,4541-wcs,strict match
54794,4509-wcs,strict match
192951,4505-wcs,strict match
60855,4526-wcs,strict match
1234411,4532-wcs,strict match
56990,4526-wcs,strict match
58028,465336-wcs,strict match
2290784,4521-wcs,strict match
56989,4522-wcs,strict match
2290785,4524-wcs,strict match
60853,4526-wcs,strict match
1234412,4544-wcs,strict match
56894,379301-wcs,strict match
120598,379273-wcs,strict match
120601,385855-wcs,strict match
50184,380380-wcs,strict match
1169427,469509-wcs,strict match
56900,380374-wcs,strict match
254764,380373-wcs,strict match
120602,380375-wcs,strict match
191702,383507-wcs,strict match
1030181,383530-wcs,strict match
1169422,381366-wcs,strict match
1406845,383518-wcs,strict match
1030183,383545-wcs,strict match
1030179,383526-wcs,strict match
120587,383497-wcs,strict match
120586,383495-wcs,strict match
1030180,383527-wcs,strict match
1406844,383502-wcs,strict match
1030182,383531-wcs,strict match
56890,383505-wcs,strict match
120588,383519-wcs,strict match
1030178,383498-wcs,strict match
1169421,383517-wcs,strict match
147278,383536-wcs,strict match
56905,381326-wcs,strict match
56892,379176-wcs,strict match
1030186,380818-wcs,strict match
56896,379624-wcs,strict match
147280,378101-wcs,strict match
36012,378167-wcs,strict match
120600,378167-wcs,strict match
147279,378192-wcs,strict match
1169425,378168-wcs,strict match
1030175,383478-wcs,strict match
190266,383479-wcs,strict match
56888,383482-wcs,strict match
120584,383480-wcs,strict match
1030176,383489-wcs,strict match
1169418,383483-wcs,strict match
50181,383484-wcs,strict match
147459,469226-wcs,strict match
1169419,383487-wcs,strict match
120585,383493-wcs,strict match
120581,382075-wcs,strict match
58026,382074-wcs,strict match
165205,382088-wcs,strict match
190268,382086-wcs,strict match
56897,382086-wcs,strict match
1169416,382090-wcs,strict match
1030174,382089-wcs,strict match
1169415,382085-wcs,strict match
56899,380767-wcs,strict match
224738,379178-wcs,strict match
120595,379179-wcs,strict match
120596,379177-wcs,strict match
1030184,385368-wcs,strict match
120589,385372-wcs,strict match
58038,385374-wcs,strict match
190267,385371-wcs,strict match
61307,380872-wcs,strict match
120610,379576-wcs,strict match
1169432,380798-wcs,strict match
1169431,469716-wcs,strict match
120618,380989-wcs,strict match
1169449,380884-wcs,strict match
58043,380932-wcs,strict match
303238,386625-wcs,strict match
1030199,469721-wcs,strict match
1030198,469721-wcs,strict match
455468,379556-wcs,strict match
1169451,381210-wcs,strict match
1169444,380929-wcs,strict match
1169445,469722-wcs,strict match
120617,380903-wcs,strict match
120626,380848-wcs,strict match
50186,380840-wcs,strict match
1030207,380784-wcs,strict match
384972,380956-wcs,strict match
120625,380867-wcs,strict match
1030202,381421-wcs,strict match
3366,379538-wcs,strict match
1406852,380794-wcs,strict match
190270,381228-wcs,strict match
306135,380838-wcs,strict match
1030192,380834-wcs,strict match
1169453,380790-wcs,strict match
1030195,380858-wcs,strict match
1169437,380956-wcs,strict match
1030189,380979-wcs,strict match
1030208,380792-wcs,strict match
120630,380888-wcs,strict match
1030204,380884-wcs,strict match
1406849,380899-wcs,strict match
1030194,379574-wcs,strict match
1807818,380846-wcs,strict match
120623,380951-wcs,strict match
120621,381234-wcs,strict match
120612,380989-wcs,strict match
1030191,379565-wcs,strict match
1406851,379550-wcs,strict match
75982,380830-wcs,strict match
1406847,380982-wcs,strict match
120628,380850-wcs,strict match
1169450,380896-wcs,strict match
1169428,380797-wcs,strict match
1030193,380843-wcs,strict match
120604,380814-wcs,strict match
1195770,380871-wcs,strict match
1406850,380904-wcs,strict match
1169441,380920-wcs,strict match
303239,380957-wcs,strict match
120627,380859-wcs,strict match
453930,379522-wcs,strict match
56901,380778-wcs,strict match
1406376,380778-wcs,strict match
1030187,380815-wcs,strict match
1406855,380774-wcs,strict match
1169448,380857-wcs,strict match
120624,381223-wcs,strict match
197626,487711-wcs,strict match
120614,380828-wcs,strict match
1030205,379551-wcs,strict match
1169434,380806-wcs,strict match
1406854,379557-wcs,strict match
147281,379534-wcs,strict match
120631,380914-wcs,strict match
1030201,380893-wcs,strict match
2290790,380977-wcs,strict match
1169438,379570-wcs,strict match
1169446,381216-wcs,strict match
1406856,380780-wcs,strict match
1169442,379535-wcs,strict match
1169433,380804-wcs,strict match
455450,380941-wcs,strict match
120616,380900-wcs,strict match
1030203,380876-wcs,strict match
1030196,380898-wcs,strict match
120629,380897-wcs,strict match
85247,380861-wcs,strict match
1169440,379572-wcs,strict match
455454,379529-wcs,strict match
120622,380974-wcs,strict match
120615,380921-wcs,strict match
218190,380846-wcs,strict match
1169447,467778-wcs,strict match
1030200,380846-wcs,strict match
1169439,379571-wcs,strict match
2290791,380976-wcs,strict match
1030190,381212-wcs,strict match
120613,379573-wcs,strict match
455435,380823-wcs,strict match
1169430,380797-wcs,strict match
120633,380788-wcs,strict match
1030209,379558-wcs,strict match
1030197,380990-wcs,strict match
1030210,381205-wcs,strict match
1169443,379541-wcs,strict match
1030206,380782-wcs,strict match
120632,380783-wcs,strict match
120599,380818-wcs,strict match
485824,380999-wcs,strict match
1169454,380995-wcs,strict match
56903,381003-wcs,strict match
120634,381013-wcs,strict match
165208,380998-wcs,strict match
120635,380996-wcs,strict match
120637,381005-wcs,strict match
120636,380997-wcs,strict match
120592,385512-wcs,strict match
120591,385511-wcs,strict match
120593,385513-wcs,strict match
1505646,378482-wcs,strict match
190405,378484-wcs,strict match
190404,378483-wcs,strict match
58045,378481-wcs,strict match
120638,378480-wcs,strict match
120640,381310-wcs,strict match
1115368,383348-wcs,strict match
1115380,383436-wcs,strict match
171013,383401-wcs,strict match
933393,383286-wcs,strict match
1115383,383455-wcs,strict match
1657058,524745-wcs,strict match
2004571,457043-wcs,strict match
933397,383360-wcs,strict match
2004556,383294-wcs,strict match
171010,383290-wcs,strict match
1935950,381365-wcs,strict match
182486,383393-wcs,strict match
1115385,383471-wcs,strict match
1115363,383424-wcs,strict match
1935952,383399-wcs,strict match
2004564,495732-wcs,strict match
466903,383405-wcs,strict match
933394,383303-wcs,strict match
1115382,383451-wcs,strict match
933401,383439-wcs,strict match
123604,383410-wcs,strict match
2004573,383406-wcs,strict match
1115384,383463-wcs,strict match
1115362,383297-wcs,strict match
2004560,383354-wcs,strict match
1425631,383298-wcs,strict match
1115369,383351-wcs,strict match
179186,383277-wcs,strict match
158388,383305-wcs,strict match
58031,383425-wcs,strict match
2004580,383424-wcs,strict match
179187,383413-wcs,strict match
859273,383336-wcs,strict match
1115357,383287-wcs,strict match
1935948,381490-wcs,strict match
54799,383456-wcs,strict match
933399,383403-wcs,strict match
933402,383442-wcs,strict match
933396,383339-wcs,strict match
933398,383372-wcs,strict match
242199,383358-wcs,strict match
466904,383417-wcs,strict match
1115359,383291-wcs,strict match
2004583,383473-wcs,strict match
1115367,383344-wcs,strict match
2004572,486486-wcs,strict match
707763,383392-wcs,strict match
1425634,383342-wcs,strict match
1115361,383296-wcs,strict match
1115381,383440-wcs,strict match
1115365,383331-wcs,strict match
179183,383438-wcs,strict match
933400,383419-wcs,strict match
1115358,383288-wcs,strict match
2290787,383299-wcs,strict match
1425632,383367-wcs,strict match
1115370,383352-wcs,strict match
2004582,381498-wcs,strict match
1115371,383361-wcs,strict match
1115379,383424-wcs,strict match
2004565,383359-wcs,strict match
1835195,383464-wcs,strict match
1935949,381494-wcs,strict match
2004553,383281-wcs,strict match
2004554,383282-wcs,strict match
933395,383333-wcs,strict match
710073,383347-wcs,strict match
2004558,383341-wcs,strict match
2004577,383443-wcs,strict match
3397,383307-wcs,strict match
544786,383359-wcs,strict match
1115372,383346-wcs,strict match
1115356,383280-wcs,strict match
242198,383458-wcs,strict match
179041,383346-wcs,strict match
1115366,383342-wcs,strict match
171014,383445-wcs,strict match
171012,383385-wcs,strict match
1115376,383388-wcs,strict match
2004570,383386-wcs,strict match
1115375,464973-wcs,strict match
2004579,457044-wcs,strict match
747353,383329-wcs,strict match
747357,383329-wcs,strict match
2004555,383284-wcs,strict match
179182,383396-wcs,strict match
933403,383459-wcs,strict match
2043222,498213-wcs,strict match
933404,383474-wcs,strict match
1115360,383292-wcs,strict match
1935951,383411-wcs,strict match
1425633,383402-wcs,strict match
1115374,383383-wcs,strict match
2004562,381492-wcs,strict match
242200,383449-wcs,strict match
2004559,383350-wcs,strict match
1968117,381493-wcs,strict match
1115386,383472-wcs,strict match
1115364,383306-wcs,strict match
2004578,383286-wcs,strict match
171011,381496-wcs,strict match
1835194,383407-wcs,strict match
1657051,383448-wcs,strict match
3396,383421-wcs,strict match
171015,383457-wcs,strict match
212135,383353-wcs,strict match
2004574,383420-wcs,strict match
1115355,383278-wcs,strict match
1115354,383275-wcs,strict match
2004575,472815-wcs,strict match
2004557,383334-wcs,strict match
2290786,383279-wcs,strict match
171016,383467-wcs,strict match
470941,383340-wcs,strict match
1115373,383380-wcs,strict match
2004567,383381-wcs,strict match
2004569,383382-wcs,strict match
2004568,464972-wcs,strict match
2004576,383437-wcs,strict match
1841238,381364-wcs,strict match
115879,379228-wcs,strict match
34343,381238-wcs,strict match
203822,383592-wcs,strict match
